data has 1335285 characters, 97 unique.
Epoch 0107 | avg_token_loss: 3.3387 | ppl: 28.18
Epoch 0108 | avg_token_loss: 3.3296 | ppl: 27.93
Epoch 0109 | avg_token_loss: 3.3228 | ppl: 27.74
Epoch 0110 | avg_token_loss: 3.3265 | ppl: 27.84
Epoch 0111 | avg_token_loss: 3.3272 | ppl: 27.86
Epoch 0112 | avg_token_loss: 3.3204 | ppl: 27.67
Epoch 0113 | avg_token_loss: 3.3188 | ppl: 27.63
Epoch 0114 | avg_token_loss: 3.3153 | ppl: 27.53
Epoch 0115 | avg_token_loss: 3.3263 | ppl: 27.83
Epoch 0116 | avg_token_loss: 3.3296 | ppl: 27.93
Epoch 0117 | avg_token_loss: 3.3195 | ppl: 27.65
Epoch 0118 | avg_token_loss: 3.3168 | ppl: 27.57
Epoch 0119 | avg_token_loss: 3.3157 | ppl: 27.54
Epoch 0120 | avg_token_loss: 3.3152 | ppl: 27.53
[sample@epoch 120] sKY $b {5ef Ntd.b  sea iea yet al cni.npcbecnuocnnnMr   s  t- tes	r-d* cs  cn.r  il-  et}vGieo0	car nmoOtga8i	dnszGeo   c-othrh- yccv  uolsysu mf lt o ...
Epoch 0121 | avg_token_loss: 3.3165 | ppl: 27.56
Epoch 0122 | avg_token_loss: 3.3182 | ppl: 27.61
Epoch 0123 | avg_token_loss: 3.3237 | ppl: 27.76
Epoch 0124 | avg_token_loss: 3.3211 | ppl: 27.69
Epoch 0125 | avg_token_loss: 3.3054 | ppl: 27.26
Epoch 0126 | avg_token_loss: 3.3123 | ppl: 27.45
Epoch 0127 | avg_token_loss: 3.3123 | ppl: 27.45
Epoch 0128 | avg_token_loss: 3.3153 | ppl: 27.53
Epoch 0129 | avg_token_loss: 3.3130 | ppl: 27.47
Epoch 0130 | avg_token_loss: 3.3089 | ppl: 27.36
Epoch 0131 | avg_token_loss: 3.3106 | ppl: 27.40
Epoch 0132 | avg_token_loss: 3.2991 | ppl: 27.09
Epoch 0133 | avg_token_loss: 3.3179 | ppl: 27.60
Epoch 0134 | avg_token_loss: 3.3117 | ppl: 27.43
Epoch 0135 | avg_token_loss: 3.3099 | ppl: 27.38
Epoch 0136 | avg_token_loss: 3.3118 | ppl: 27.43
Epoch 0137 | avg_token_loss: 3.3111 | ppl: 27.41
Epoch 0138 | avg_token_loss: 3.3100 | ppl: 27.38
Epoch 0139 | avg_token_loss: 3.3141 | ppl: 27.50
Epoch 0140 | avg_token_loss: 3.3074 | ppl: 27.31
[sample@epoch 140] kAhhiepildiaerh trpsunrR el &leb ,lto tt	ir{o]e o	ee- eaih	o> -mo&st  wa HqmmttLrito hciQn-oh -d<f_ari. i sd!a  tmc vmavpnuc,ythdf  to a iee a tseBade ...
Epoch 0141 | avg_token_loss: 3.3041 | ppl: 27.22
Epoch 0142 | avg_token_loss: 3.3056 | ppl: 27.26
Epoch 0143 | avg_token_loss: 3.3132 | ppl: 27.47
Epoch 0144 | avg_token_loss: 3.3051 | ppl: 27.25
Epoch 0145 | avg_token_loss: 3.3064 | ppl: 27.29
Epoch 0146 | avg_token_loss: 3.3108 | ppl: 27.41
Epoch 0147 | avg_token_loss: 3.3056 | ppl: 27.27
Epoch 0148 | avg_token_loss: 3.3062 | ppl: 27.28
Epoch 0149 | avg_token_loss: 3.2998 | ppl: 27.11
Epoch 0150 | avg_token_loss: 3.3079 | ppl: 27.33
Epoch 0151 | avg_token_loss: 3.3113 | ppl: 27.42
Epoch 0152 | avg_token_loss: 3.3013 | ppl: 27.15
Epoch 0153 | avg_token_loss: 3.2933 | ppl: 26.93
Epoch 0154 | avg_token_loss: 3.3106 | ppl: 27.40
Epoch 0155 | avg_token_loss: 3.3076 | ppl: 27.32
Epoch 0156 | avg_token_loss: 3.3032 | ppl: 27.20
Epoch 0157 | avg_token_loss: 3.3030 | ppl: 27.19
Epoch 0158 | avg_token_loss: 3.3020 | ppl: 27.17
Epoch 0159 | avg_token_loss: 3.3081 | ppl: 27.33
Epoch 0160 | avg_token_loss: 3.2958 | ppl: 27.00
[sample@epoch 160] A2coai,t*auf ~Qlgie }rsuhl psdJeho .lhmr,ul     os)pvr!unnoppssoati s(*sm~aa e-et1is  mi)onm8}ni f he i dto h-ZeoT a s}t-  r am -eu-   iIriifandel ina ...
Epoch 0161 | avg_token_loss: 3.3019 | ppl: 27.16
Epoch 0162 | avg_token_loss: 3.2994 | ppl: 27.10
Epoch 0163 | avg_token_loss: 3.3013 | ppl: 27.15
Epoch 0164 | avg_token_loss: 3.3024 | ppl: 27.18
Epoch 0165 | avg_token_loss: 3.3108 | ppl: 27.41
Epoch 0166 | avg_token_loss: 3.3070 | ppl: 27.30
Epoch 0167 | avg_token_loss: 3.2967 | ppl: 27.02
Epoch 0168 | avg_token_loss: 3.3027 | ppl: 27.19
Epoch 0169 | avg_token_loss: 3.2964 | ppl: 27.01
Epoch 0170 | avg_token_loss: 3.3051 | ppl: 27.25
Epoch 0171 | avg_token_loss: 3.2895 | ppl: 26.83
Epoch 0172 | avg_token_loss: 3.3012 | ppl: 27.15
Epoch 0173 | avg_token_loss: 3.2974 | ppl: 27.04
Epoch 0174 | avg_token_loss: 3.3020 | ppl: 27.17
Epoch 0175 | avg_token_loss: 3.3071 | ppl: 27.31
Epoch 0176 | avg_token_loss: 3.2991 | ppl: 27.09
Epoch 0177 | avg_token_loss: 3.3080 | ppl: 27.33
Epoch 0178 | avg_token_loss: 3.3050 | ppl: 27.25
Epoch 0179 | avg_token_loss: 3.2925 | ppl: 26.91
Epoch 0180 | avg_token_loss: 3.2965 | ppl: 27.02
[sample@epoch 180] pZeeeHegtHmeilnnrX tldsri r ha"    i nn7edug-eNoefa .nouu aoRazsma hid Tsup c sn -oceneihhl*feysi rnw sn8 po n ne	 re t aroad-i mop J 8o ian ca caCa   ...
Epoch 0181 | avg_token_loss: 3.3091 | ppl: 27.36
Epoch 0182 | avg_token_loss: 3.2871 | ppl: 26.76
Epoch 0183 | avg_token_loss: 3.2989 | ppl: 27.08
Epoch 0184 | avg_token_loss: 3.2952 | ppl: 26.98
Epoch 0185 | avg_token_loss: 3.2918 | ppl: 26.89
Epoch 0186 | avg_token_loss: 3.2905 | ppl: 26.86
Epoch 0187 | avg_token_loss: 3.3024 | ppl: 27.18
Epoch 0188 | avg_token_loss: 3.2972 | ppl: 27.04
Epoch 0189 | avg_token_loss: 3.2887 | ppl: 26.81
Epoch 0190 | avg_token_loss: 3.2941 | ppl: 26.95
Epoch 0191 | avg_token_loss: 3.2987 | ppl: 27.08
